"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
Israel,767726,"+3,970",5687.0,+27,722534.0,"+4,612",39505.0,755.0,83470.0,618.0,11858993.0,1289359.0,9197590.0,Asia,12.0,1617.0,1.0
Belgium,760809,"+3,113",21988.0,+32,51946.0,+179,686875.0,354.0,65459.0,1892.0,9293149.0,799572.0,11622651.0,Europe,15.0,529.0,1.0
Iraq,684362,"+4,074",13351.0,+27,627718.0,"+2,271",43293.0,379.0,16770.0,327.0,6728075.0,164872.0,40807854.0,Asia,60.0,3057.0,6.0
Sweden,652465,,12798.0,+41,,,,232.0,64343.0,1262.0,5917399.0,583543.0,10140462.0,Europe,16.0,792.0,2.0
Pakistan,575941,"+1,361",12772.0,+64,539888.0,"+1,681",23281.0,1590.0,2575.0,57.0,8831892.0,39485.0,223678725.0,Asia,388.0,17513.0,25.0
Philippines,568680,"+2,269",12201.0,+72,524042.0,+738,32437.0,785.0,5145.0,110.0,8683366.0,78560.0,110531750.0,Asia,194.0,9059.0,13.0
Switzerland,553867,"+1,169",9954.0,+12,505666.0,"+1,859",38247.0,179.0,63692.0,1145.0,4995486.0,574458.0,8696005.0,Europe,16.0,874.0,2.0
Bangladesh,544954,+410,8384.0,+5,494755.0,+957,41815.0,,3288.0,51.0,4003236.0,24151.0,165760741.0,Asia,304.0,19771.0,41.0
Morocco,482514,+386,8598.0,+6,467541.0,+726,6375.0,309.0,12972.0,231.0,5622723.0,151165.0,37195947.0,Africa,77.0,4326.0,7.0
Austria,452767,"+2,391",8493.0,+23,425786.0,"+1,438",18488.0,251.0,50085.0,939.0,5206796.0,575971.0,9040025.0,Europe,20.0,1064.0,2.0
Serbia,449901,"+3,588",4398.0,+15,400347.0,,45156.0,153.0,51628.0,505.0,2903450.0,333185.0,8714236.0,Europe,19.0,1981.0,3.0
Japan,428553,"+1,086",7647.0,+63,405257.0,"+1,876",15649.0,472.0,3395.0,61.0,8083230.0,64040.0,126222058.0,Asia,295.0,16506.0,16.0
Hungary,414514,"+4,385",14672.0,+120,315781.0,"+2,331",84061.0,411.0,42980.0,1521.0,3577770.0,370975.0,9644237.0,Europe,23.0,657.0,3.0
UAE,381662,"+3,025",1182.0,+18,375059.0,"+4,678",5421.0,,38287.0,119.0,30066937.0,3016242.0,9968343.0,Asia,26.0,8433.0,0.0
Jordan,380268,"+3,827",4627.0,+16,342600.0,"+1,579",33041.0,232.0,37030.0,451.0,4510000.0,439174.0,10269274.0,Asia,27.0,2219.0,2.0
Saudi Arabia,376377,+356,6480.0,+5,367323.0,+308,2574.0,473.0,10703.0,184.0,13509412.0,384152.0,35166837.0,Asia,93.0,5427.0,3.0
Lebanon,366319,"+3,469",4560.0,+52,281194.0,"+3,453",80565.0,913.0,53828.0,670.0,2970580.0,436507.0,6805349.0,Asia,19.0,1492.0,2.0
Panama,339383,+682,5810.0,+21,324156.0,+873,9417.0,195.0,77858.0,1333.0,1885696.0,432600.0,4358982.0,North America,13.0,750.0,2.0
Slovakia,300775,"+2,438",6859.0,+84,255300.0,,38616.0,652.0,55073.0,1256.0,2009936.0,368027.0,5461377.0,Europe,18.0,796.0,3.0
